                     | Insert | findPk | complex| hydrate|  with  |     MB |
                     |--------|--------|--------|--------|--------|--------|
              OptPDO |     42 |     45 |     97 |     80 |     68 |   0.54 |
                 PDO |    103 |    109 |    108 |    108 |    106 |   0.52 |
           OptDormio |     65 |    111 |    116 |    115 |     71 |   1.04 |
              Dormio |    315 |    127 |    143 |    197 |    199 |   0.99 |
            Outlet07 |    757 |     78 |    171 |    411 |    499 |   2.09 |
            Propel14 |   1392 |    561 |    174 |    349 |    381 |   2.98 |
            Propel15 |   1280 |    692 |    233 |    452 |    561 |   7.24 |
   Propel15WithCache |   1179 |    495 |    197 |    367 |    412 |   7.32 |
          Doctrine12 |   2404 |   3529 |    652 |   1948 |   2170 |  13.36 |
